aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","672418263415010014",true,4.8769984,false,"",0.19729185,0.11859265,0.12438036,"",2,false,-1,20.034655,19.533762,58426.418263900094,"ZTF18accucaj",683378103415010000,672418263415,98.3805049,"ztf","ztf",20.430065,0.18346047,0,"",20.0047,20.0867,672,0.6766667,"t8_f5_c3",460120234,0.282,0.3895,"bulk_1.0.0"
"","672442743415010039",true,4.8771806,false,"",0.323287,0.8330381,0.84200466,"",1,false,-1,20.8518,21.891117,58426.442743100226,"ZTF18accucaj",683378103415010000,672442743415,98.3802664,"ztf","ztf",20.5508,0.876327,"","",21.0381,20.8816,672,0.73,"t12_f5_c3","",0.57,0.6333,"bulk_1.0.0"
"","678354403415010007",true,4.8769455,false,"",0.226203,0.12561631,0.13075466,"",2,false,-1,20.0934,19.498297,58432.354409699794,"ZTF18accucaj",683378103415010000,678354403415,98.3804552,"ztf","ztf",20.0805,0.340635,"","",20.4138,20.4524,678,0.78,"t12_f5_c3","",0.5119,0.6795,"bulk_1.0.0"
"","678402393415010013",true,4.8770682,false,"",0.243376,0.09464519,0.10005538,"",2,false,-1,20.342,19.376905,58432.40239580022,"ZTF18accucaj",683378103415010000,678402393415,98.3804562,"ztf","ztf",20.4186,0.112741,"","",19.9072,20.0376,678,0.56,"t12_f5_c3","",0.2676,0.3865,"bulk_1.0.0"
"","683378103415010010",true,4.8770073,false,"",0.17491804,0.13479999,0.1410576,"",2,true,-1,19.878643,19.645048,58437.37810190022,"ZTF18accucaj",0,683378103415,98.3804534,"ztf","ztf",20.099682,0.12448305,0,"",20.0127,20.1166,683,0.81,"t8_f5_c3",460120234,0.3319,0.4685,"bulk_1.0.0"
"","737252673415010030",true,4.8770438,false,"",0.237569,0.13862924,0.14345317,"",2,false,-1,20.0636,19.515902,58491.25267359987,"ZTF18accucaj",759400173415015000,737252673415,98.3805294,"ztf","ztf",20.0529,0.199265,"","",19.9802,19.6742,737,0.616667,"t12_f5_c3","",0.3143,0.3038,"bulk_1.0.0"
"","753232473415015100",true,4.8769486,false,"",0.228109,0.059305225,0.06163489,"",2,false,1,20.0818,18.66101,58507.232476899866,"ZTF18accucaj",759400173415015000,753232473415,98.380452,"ztf","ztf",20.2357,0.329873,"","",19.837,19.8357,753,0.367143,"t15_f5_c3","",0.2958,0.3779,"bulk_1.0.0"
"","759400173415015018",true,4.8770037,false,"",0.17573787,0.054122202,0.056333162,"",2,false,1,19.818644,18.583391,58513.40017359983,"ZTF18accucaj",785197343415010000,759400173415,98.3804375,"ztf","ztf",20.243177,0.17026085,0,"",19.6586,19.5463,759,0.70714283,"t15_f5_c3",460120234,0.2353,0.2712,"bulk_1.0.0"
"","785197343415010022",true,4.8770335,false,"",0.19911526,0.12066564,0.12638788,"",2,true,-1,20.030125,19.536627,58539.19734949991,"ZTF18accucaj",0,785197343415,98.3804697,"ztf","ztf",20.347887,0.022104098,0,"",19.6942,19.9044,785,0.5814286,"t15_f5_c3",460120234,0.2205,0.3426,"bulk_1.0.0"
"","1121227983415010103",true,4.8770213,false,"",0.222577,0.13979253,0.14485711,"",2,false,-1,20.0136,19.547249,58875.22798610013,"ZTF18accucaj",1139254583415010000,1121227983415,98.3804572,"ztf","ztf",20.2988,0.068721,"","",20.6584,20.5959,1121,0.76,"t17_f5_c3","",0.5216,0.6301,"bulk_1.0.0"
